,GSM77082,GSM77083,GSM78821,GSM78822,GSM78823,GSM78824,GSM78825,GSM78826,GSM78827,GSM78828,GSM78829,GSM78830
1450047_at,1539,1441.9,900.1,1070.6,1339.6,1032,173.9,211.5,65,24.9,16.8,23.7
1450048_a_at,1625.1,1209.2,536.9,983,3590.6,3406.2,1203.8,1475.1,1158.8,694.1,503.5,598.3
1450049_a_at,21.6,14.6,2.4,7.1,3.2,24,1.1,4.4,3.3,0.6,6.6,0.5
1450050_at,73.7,86,26.8,53.1,54.2,130,55.4,44.6,64.4,30.4,11.9,35
1450051_at,38.2,207.5,24.1,185.9,22.2,74.2,49.6,36.8,89,17.2,77.7,13.6
1450052_at,96.3,92.1,55.2,54.5,508.4,668.6,136.1,155.3,365.1,135.2,106.5,120.4
1450053_at,231.6,354,174.5,150.7,762.4,1003.5,378.6,442.1,730.1,452.9,293.8,442
1450054_at,1475.9,1170.5,957.1,994.8,1575.2,1689.7,722,889.8,2989.8,2221.4,1737.9,2418.3
1450055_at,25.4,41.5,17,10.6,35.1,33.1,2.1,6.5,32.6,12.6,2.2,8.3
1450056_at,47.8,32.9,16.8,30.7,53.1,70.7,21.3,31.5,57.1,18.3,25.9,31.2
1450057_at,180.5,195.9,64.2,72.3,142.6,134.5,77.6,85.7,263.9,111.6,138.8,146.6
1450058_at,203.4,191.7,52.7,76.1,138.3,180.5,27.9,19.9,471.8,88.3,88,92.1
1450059_at,115.3,44.4,19.2,15.5,88.3,72,17,15.6,174.3,36.5,33.5,34.3
1450060_at,4.5,2.5,0.5,3.8,4.6,6.5,2.8,2.8,6.7,0.9,1.3,1.1
1450061_at,203.8,160.1,39.3,47.7,1014.2,1757.1,423.2,421.7,1032.5,264,163,287.3
1450062_a_at,1349.2,1147.2,631.7,802.9,1999.5,2259,960.1,964.1,1660.6,773.7,703.4,1005.4
1450063_at,16.3,41.5,13.9,16.6,57.1,72.3,1.5,23.9,87.5,13.3,3.9,11.3
1450064_at,4.8,5,1.1,8.9,2.9,17.8,1.3,5.9,30,10.5,8,2.7
1450065_at,892.2,499.7,402.1,469,550.3,723.4,141.5,174.7,1034.2,292.4,224.6,316.3
1450066_at,545.3,363.5,393.9,376.3,716.9,789.1,176.7,263.1,1151.7,613.4,418.1,509.9
1450067_a_at,86.4,42.5,62.1,71,196.6,243,59.5,85.4,281.1,109.2,115.3,96.8
1450068_at,9,36.3,6.3,44.4,16.1,29.1,27.2,13.6,41.6,8.3,23.9,9.9
1450069_a_at,1550.8,1576.3,642.1,615.8,1703.8,1624.9,313,453.7,1061.1,406.2,239.8,359.5
1450070_s_at,712.9,550.6,206.5,214,4678.5,5487.2,1995.5,2530.1,285.4,178.3,119.1,164.4
1450071_at,508.3,1124.6,188.3,319.1,301.1,733,86,62.4,738.9,151.1,155.5,93.2
1450072_at,423.8,507.9,239.1,253.6,296.4,387.6,58.2,93.2,377.7,172.4,117,149.8
